Month,area,regional,networksite,Availability (Ave)
Mar-25,AREA1,REGIONAL1,NOP MEDAN,99.58483646485735
Mar-25,AREA1,REGIONAL1,NOP PADANG SIDEMPUAN,98.1931105047749
Mar-25,AREA1,REGIONAL1,NOP PEMATANG SIANTAR,99.17258691206543
Mar-25,AREA1,REGIONAL1,NOP RANTAU PRAPAT,98.3431441048035
Mar-25,AREA1,REGIONAL10,NOP BATAM,98.02982758620689
Mar-25,AREA1,REGIONAL10,NOP BUKITTINGGI,99.3316
Mar-25,AREA1,REGIONAL10,NOP DUMAI,98.67097879282218
Mar-25,AREA1,REGIONAL10,NOP PADANG,99.03848074921956
Mar-25,AREA1,REGIONAL10,NOP PEKANBARU,98.32025199754148
Mar-25,AREA1,REGIONAL2,NOP BENGKULU,97.85051843317973
Mar-25,AREA1,REGIONAL2,NOP JAMBI,98.01913539967374
Mar-25,AREA1,REGIONAL2,NOP LAMPUNG,99.54759725400459
Mar-25,AREA1,REGIONAL2,NOP MUARA ENIM,97.84860091743118
Mar-25,AREA1,REGIONAL2,NOP PALEMBANG,98.49037390029325
Mar-25,AREA1,REGIONAL2,NOP PANGKAL PINANG,99.57805743243243
Mar-25,AREA3,REGIONAL5,NOP MAGELANG,99.68811464968152
Mar-25,AREA3,REGIONAL5,NOP PEKALONGAN,99.64545968882602
Mar-25,AREA3,REGIONAL5,NOP PURWOKERTO,99.70414012738854
Mar-25,AREA3,REGIONAL5,NOP SEMARANG,99.70329991645782
Mar-25,AREA3,REGIONAL5,NOP SURAKARTA,99.70005970149253
Mar-25,AREA3,REGIONAL5,NOP YOGYAKARTA,99.57240051347881
Mar-25,AREA3,REGIONAL6,NOP JEMBER,99.47263618677043
Mar-25,AREA3,REGIONAL6,NOP KEDIRI,99.87357568533969
Mar-25,AREA3,REGIONAL6,NOP LAMONGAN,99.82439601494397
Mar-25,AREA3,REGIONAL6,NOP MADIUN,99.78435079726651
Mar-25,AREA3,REGIONAL6,NOP MALANG,99.84960086299893
Mar-25,AREA3,REGIONAL6,NOP SIDOARJO,99.65469606674611
Mar-25,AREA3,REGIONAL6,NOP SURABAYA,99.6994214876033
Mar-25,AREA3,REGIONAL7,NOP DENPASAR,99.77277389277388
Mar-25,AREA3,REGIONAL7,NOP FLORES,96.86117910447761
Mar-25,AREA3,REGIONAL7,NOP KUPANG,98.30250284414106
Mar-25,AREA3,REGIONAL7,NOP MATARAM,99.42413879598662
Apr-25,AREA1,REGIONAL1,NOP ACEH,98.90640776699028
Apr-25,AREA1,REGIONAL1,NOP BINJAI,99.39918580375783
Apr-25,AREA1,REGIONAL1,NOP MEDAN,99.43220752089137
Apr-25,AREA1,REGIONAL1,NOP PADANG SIDEMPUAN,98.78725409836066
Apr-25,AREA1,REGIONAL1,NOP PEMATANG SIANTAR,98.81898931000973
Apr-25,AREA1,REGIONAL1,NOP RANTAU PRAPAT,98.3000548245614
Apr-25,AREA1,REGIONAL10,NOP BATAM,97.93422413793104
Apr-25,AREA1,REGIONAL10,NOP BUKITTINGGI,99.20783599088838
Apr-25,AREA1,REGIONAL10,NOP DUMAI,98.07873426573427
Apr-25,AREA1,REGIONAL10,NOP PADANG,99.03369948186528
Apr-25,AREA1,REGIONAL10,NOP PEKANBARU,98.3307767669699
Apr-25,AREA1,REGIONAL2,NOP BENGKULU,98.45031034482759
Apr-25,AREA1,REGIONAL2,NOP JAMBI,98.05894779771616
Apr-25,AREA1,REGIONAL2,NOP LAMPUNG,99.54790737564323
Apr-25,AREA1,REGIONAL2,NOP MUARA ENIM,97.70520594965676
Apr-25,AREA1,REGIONAL2,NOP PALEMBANG,98.22171680117388
Apr-25,AREA1,REGIONAL2,NOP PANGKAL PINANG,99.4273569023569
Apr-25,AREA3,REGIONAL5,NOP MAGELANG,99.71210191082803
Apr-25,AREA3,REGIONAL5,NOP PEKALONGAN,99.76162889518415
Apr-25,AREA3,REGIONAL5,NOP PURWOKERTO,99.7649111675127
Apr-25,AREA3,REGIONAL5,NOP SEMARANG,99.75880534670007
Apr-25,AREA3,REGIONAL5,NOP SURAKARTA,99.75830975428146
Apr-25,AREA3,REGIONAL5,NOP YOGYAKARTA,99.68163029525033
Apr-25,AREA3,REGIONAL6,NOP JEMBER,99.6740291262136
Apr-25,AREA3,REGIONAL6,NOP KEDIRI,99.86429761904762
Apr-25,AREA3,REGIONAL6,NOP LAMONGAN,99.83597758405976
Apr-25,AREA3,REGIONAL6,NOP MADIUN,99.86928571428572
Apr-25,AREA3,REGIONAL6,NOP MALANG,99.87380798274003
Apr-25,AREA3,REGIONAL6,NOP SIDOARJO,99.83586618876942
Apr-25,AREA3,REGIONAL6,NOP SURABAYA,99.6548102310231
Apr-25,AREA3,REGIONAL7,NOP DENPASAR,99.80905207723816
Apr-25,AREA3,REGIONAL7,NOP FLORES,97.71294378698225
Apr-25,AREA3,REGIONAL7,NOP KUPANG,98.77590443686007
Apr-25,AREA3,REGIONAL7,NOP MATARAM,99.58093567251463
