Month,area,regional,networksite,site_id,Availability (Ave),site_class,target (%),Achievement
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY224,99.97,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY225,99.98,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY226,99.78,Platinum,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY228,99.98,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY229,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY232,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY234,99.37,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY235,99.56,Silver,99.82,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY236,99.96,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY237,99.94,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY238,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY241,99.87,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY242,99.8,Silver,99.82,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY243,99.83,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY244,98.47,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY245,99.26,Silver,99.82,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY246,99.98,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY249,99.99,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY254,99.96,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY256,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY258,99.93,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY264,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY265,99.99,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY266,99.99,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY270,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY271,99.72,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY274,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY275,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY276,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY277,99.99,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY280,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY281,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY282,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY283,99.93,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY284,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY285,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY286,99.99,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY287,99.86,Platinum,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY291,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY292,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY295,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY297,99.88,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY301,99.76,Gold,99.88,Not Achieved
