Month,area,regional,networksite,Availability (Ave)
May-25,AREA1,REGIONAL2,NOP PALEMBANG,98.37178414096915
May-25,AREA1,REGIONAL2,NOP PANGKAL PINANG,99.46242424242425
May-25,AREA3,REGIONAL5,NOP MAGELANG,99.75255784061697
May-25,AREA3,REGIONAL5,NOP PEKALONGAN,99.74059238363893
May-25,AREA3,REGIONAL5,NOP PURWOKERTO,99.70388607594937
May-25,AREA3,REGIONAL5,NOP SEMARANG,99.72171404682274
May-25,AREA3,REGIONAL5,NOP SURAKARTA,99.66849925705795
May-25,AREA3,REGIONAL5,NOP YOGYAKARTA,99.66749357326478
May-25,AREA3,REGIONAL6,NOP JEMBER,99.6978640776699
May-25,AREA3,REGIONAL6,NOP KEDIRI,99.84353151010701
May-25,AREA3,REGIONAL6,NOP LAMONGAN,99.8067331670823
May-25,AREA3,REGIONAL6,NOP MADIUN,99.760181200453
May-25,AREA3,REGIONAL6,NOP MALANG,99.83734627831716
May-25,AREA3,REGIONAL6,NOP SIDOARJO,99.76942720763724
May-25,AREA3,REGIONAL6,NOP SURABAYA,99.6157508250825
May-25,AREA3,REGIONAL7,NOP DENPASAR,99.26652453271028
May-25,AREA3,REGIONAL7,NOP FLORES,97.48610619469027
May-25,AREA3,REGIONAL7,NOP KUPANG,98.48214528944382
May-25,AREA3,REGIONAL7,NOP MATARAM,99.59442773600668
Jun-25,AREA1,REGIONAL1,NOP ACEH,98.82165818181818
Jun-25,AREA1,REGIONAL1,NOP BINJAI,99.19330198537095
Jun-25,AREA1,REGIONAL1,NOP MEDAN,99.36003474635163
Jun-25,AREA1,REGIONAL1,NOP PADANG SIDEMPUAN,98.65305177111716
Jun-25,AREA1,REGIONAL1,NOP PEMATANG SIANTAR,98.91525406504066
Jun-25,AREA1,REGIONAL1,NOP RANTAU PRAPAT,98.64371864776444
Jun-25,AREA1,REGIONAL10,NOP BATAM,98.08923371647509
Jun-25,AREA1,REGIONAL10,NOP BUKITTINGGI,99.25581818181817
Jun-25,AREA1,REGIONAL10,NOP DUMAI,98.79348739495799
Jun-25,AREA1,REGIONAL10,NOP PADANG,99.12267285861712
